date,GDP,GDP_CONS,GDP_GOV,GDP_INVEST,GDP_EXP,GDP_IMP,PROMANTOT,UNEMP,UNEMPL,CHFUSD,IMPORTS,EXPORTS,CPI_SNB
2006-12-01,0.013442266868205266,-1.1186226454534833,-0.4670010753844314,1.6144870939114209,0.7685586262958188,29.67058616321748,,,-0.057334787001922294,-0.0289922599587496,0.13109494908984942,0.0605535871780809,0.6
2007-01-01,,,,,,,-2.4417561235751775,7.083,-0.04995494199874351,-0.01364338890009928,0.03970871273026688,0.033656387565510926,0.1
2007-02-01,,,,,,,,,-0.05071179480557397,0.0030035483867280055,-0.01157356773631335,0.022551391263398557,0.0
2007-03-01,0.009176479934181359,1.8608648817142421,0.17878118587309588,-2.2356486179356825,-2.352728279809558,-29.67058616321748,,,-0.06716962010786354,0.0065674290079848485,-0.014465062361136205,0.010090454579344765,0.2
2007-04-01,,,,,,,2.331481335297944,,-0.06203935251999404,-0.02503015408464765,0.03600171138026198,-0.008340078232592418,0.5
2007-05-01,,,,,,,,,-0.054091038767277055,-0.014797234446993102,0.07657044936658863,0.02502628298238463,0.5
2007-06-01,0.012509121481439678,-0.8331110870994576,-0.39496287181127954,1.8711440544636515,2.1812473000509476,28.701684717769307,,,-0.03675417634662992,0.012374282683844356,0.025819764431840753,0.03683363423839836,0.6
2007-07-01,,,,,,,-0.6401440243510222,,-0.037051550124237664,-0.004511410162441193,0.05631127230888566,0.055522188427268304,0.7
2007-08-01,,,,,,,,,-0.03469833560831326,-0.015169139518313612,0.0020165595668437675,0.01808880846743577,0.4
2007-09-01,0.007385322507843739,0.3996932247545385,-26.452279609443288,-28.477391583165836,-0.07396770851317247,-0.14120776908400945,,,-0.03053288370442786,-0.0395474815817064,0.03864543267745901,-0.0006184479070938664,0.7
2007-10-01,,,,,,,-28.38104993202598,,-0.028816102873763683,-0.027560840667665704,0.03230293269432494,0.005361882735169132,1.3
2007-11-01,,,,,,,,,-0.02777151358729313,-0.06830958680445882,0.09718586255549155,0.023075953335581545,1.8
2007-12-01,0.006664285422207428,-0.010250251988366155,0.0,27.2483346857207,-29.20645671025866,-28.5604769486853,,,-0.04488779202649873,-0.03869519493004106,0.04359480551113393,-0.021259316411175178,2.0
2008-01-01,,,,,,,27.324762657904067,7.018,-0.04801594302388956,-0.06468164844694699,0.052306295396356006,-0.005390420309346666,2.4
2008-02-01,,,,,,,,,-0.050909521633087707,-0.031045907740229056,0.031080605782165094,0.023100026598427803,2.4
2008-03-01,0.004877903045095167,-0.9233742401726261,27.18637411350328,-27.2483346857207,29.06824279915121,29.154538298207264,,,-0.024585533407439186,-0.11869651311525531,0.10579563841801942,0.039599569893805864,2.6
2008-04-01,,,,,,,-27.324762657904067,,0.0014400578511661877,-0.08207054661416119,0.10751846867741932,0.057112170671295814,2.3
2008-05-01,,,,,,,,,0.011029227053006352,-0.04142059021124674,0.05080303676579945,0.00411245795452686,2.9
2008-06-01,0.015950097862736712,0.4317311093312688,-1.7206578309973972,28.34824019563819,0.3071893392651006,-29.154538298207264,,,0.014603942173298634,0.023939550176651284,0.028420618117493746,0.06427936646806742,2.9
2008-07-01,,,,,,,0.0,,0.0021362623547247495,0.014138852744630472,-0.0080908223235312,0.006325322968674385,3.1
2008-08-01,,,,,,,,,0.008108287470113495,0.03688513690091042,-0.02542622702260644,0.016230378614174867,2.9
2008-09-01,0.0038489541423700757,0.3576115719996147,-25.46571628250588,-28.34824019563819,-1.072584035113965,28.841887277653594,,,0.019080620037687623,0.06805485276896578,-0.09067601139694403,-0.056368719105538645,2.9
2008-10-01,,,,,,,0.0,,0.03499984942474299,0.10572381114966559,-0.17705962911529483,-0.07659948014832096,2.6
2008-11-01,,,,,,,,,0.0626309535656393,0.09411066122599362,-0.1772767106621309,-0.09218802027441697,1.5
2008-12-01,-0.022323529092812322,-26.93697920411804,26.94227795090698,0.0,-28.302848103302345,-0.34458992594861815,,,0.07689786574488267,0.02684162938664375,-0.15218453487171857,-0.12466375613495018,0.7
